,TIPO,DATA COM,PAGAMENTO,VALOR,FUNDO
15,RENDIMENTO,07/10/2019,16/10/2019,"0,70000000",MGFF11
16,RENDIMENTO,06/09/2019,17/09/2019,"0,70000000",MGFF11
17,RENDIMENTO,07/08/2019,16/08/2019,"0,75000000",MGFF11
18,RENDIMENTO,05/07/2019,17/07/2019,"0,80000000",MGFF11
19,RENDIMENTO,07/06/2019,14/06/2019,"0,90000000",MGFF11
20,RENDIMENTO,08/05/2019,17/05/2019,"0,90000000",MGFF11
21,RENDIMENTO,05/04/2019,16/04/2019,"0,75000000",MGFF11
22,RENDIMENTO,11/03/2019,20/03/2019,"0,70000000",MGFF11
23,RENDIMENTO,07/02/2019,18/02/2019,"0,70000000",MGFF11
24,RENDIMENTO,08/01/2019,17/01/2019,"0,70000000",MGFF11
25,RENDIMENTO,07/12/2018,18/12/2018,"0,70000000",MGFF11
26,RENDIMENTO,08/11/2018,21/11/2018,"0,72004167",MGFF11
27,RENDIMENTO,05/10/2018,15/10/2018,"0,50000000",MGFF11
28,RENDIMENTO,10/09/2018,19/09/2018,"0,43000000",MGFF11
29,RENDIMENTO,07/08/2018,16/08/2018,"0,36000000",MGFF11
30,RENDIMENTO,06/07/2018,18/07/2018,"0,28926181",MGFF11
31,RENDIMENTO,07/06/2018,18/06/2018,"0,30947000",MGFF11
32,RENDIMENTO,09/05/2018,16/05/2018,"0,32209500",MGFF11
0,RENDIMENTO,12/01/2021,19/01/2021,"1,59052082",IRDM11
1,RENDIMENTO,09/12/2020,16/12/2020,"1,37969107",IRDM11
2,RENDIMENTO,11/11/2020,18/11/2020,"1,22054874",IRDM11
3,RENDIMENTO,09/10/2020,19/10/2020,"1,15874632",IRDM11
4,RENDIMENTO,10/09/2020,17/09/2020,"1,05284264",IRDM11
5,RENDIMENTO,11/08/2020,18/08/2020,"0,84644025",IRDM11
6,RENDIMENTO,09/07/2020,16/07/2020,"0,92603654",IRDM11
7,RENDIMENTO,09/06/2020,17/06/2020,"0,76584885",IRDM11
8,RENDIMENTO,12/05/2020,19/05/2020,"0,70190993",IRDM11
9,RENDIMENTO,09/04/2020,17/04/2020,"0,70157886",IRDM11
10,RENDIMENTO,10/03/2020,17/03/2020,"0,95275087",IRDM11
11,RENDIMENTO,11/02/2020,18/02/2020,"1,04260879",IRDM11
12,RENDIMENTO,10/01/2020,17/01/2020,"0,80330081",IRDM11
13,RENDIMENTO,10/12/2019,17/12/2019,"1,28112082",IRDM11
14,RENDIMENTO,11/11/2019,19/11/2019,"0,80224462",IRDM11
15,RENDIMENTO,09/10/2019,16/10/2019,"0,79212366",IRDM11
16,RENDIMENTO,10/09/2019,17/09/2019,"1,14816832",IRDM11
